"date";"BE";"C1";"C2";"C3";"C4";"C5";"DE"
"1990-01-01";94.77;84.22;252.33;79.3;101.73;100.6;94.37
"1990-02-01";92.23;84.65;196.22;88.33;95.66;99.39;77.7
"1990-03-01";101.31;93.33;202.77;99.62;106.61;109.1;82.02
"1990-04-01";93.09;90.29;170.98;88.99;92.47;99.43;80.58
"1990-05-01";91.6;94.43;236.3;92.36;89.74;98.15;68.94
"1990-06-01";98.03;95.12;232.44;101.09;95.73;107.71;68.97
"1990-07-01";91.54;88.27;243.66;86.04;89.79;101.41;69.74
"1990-08-01";68.28;84.46;238.31;68.6;47.1;69.34;63.54
"1990-09-01";93.83;92.97;214.59;97.91;87.81;101.71;70.03
"1990-10-01";103.02;100.21;221.78;107.5;95.31;111.62;79.5
"1990-11-01";97.53;93.67;221.46;104.29;87.28;100.78;89.71
"1990-12-01";93.02;82.68;236.54;117.29;71.78;89.19;100.72
"1991-01-01";96.26;92.55;260.33;77.44;95.01;101.01;102.51
"1991-02-01";92.74;87.14;228.33;81.47;87.38;97.01;97.57
"1991-03-01";98.02;92.18;219.06;96.01;95.26;104.47;86.11
"1991-04-01";94.04;94.45;198.91;87.33;89.4;100.66;83.12
"1991-05-01";88.28;88.68;229;84.17;82.62;93.25;79.37
"1991-06-01";98.15;94.45;238.6;102.08;92.4;107.29;72.4
"1991-07-01";92.55;91.85;243.55;82.94;89.9;102.05;74.58
"1991-08-01";66.66;82.12;244.79;64.9;46.4;66.86;66.19
"1991-09-01";95.14;97.48;221.5;93.2;93.15;102.93;72.4
"1991-10-01";102.89;101.47;204.01;103.71;94.85;109.95;87.02
"1991-11-01";96.09;93.69;243.34;102.35;84.26;97.29;93.97
"1991-12-01";96.26;88.09;256.37;114.42;76.67;93.21;103.82
"1992-01-01";95.82;89.06;244.08;75.06;95.19;99.67;108.53
"1992-02-01";92.21;84.8;231.62;76.49;91.9;97.82;95.31
"1992-03-01";100.85;94;228.08;94.14;99.23;107.13;93.91
"1992-04-01";94.51;93.68;231.02;84.55;90.08;101.26;86.51
"1992-05-01";86.3;88.96;235.37;81.7;80.59;91.7;74.73
"1992-06-01";99.04;99.53;210.21;102.64;92.41;107.54;73.71
"1992-07-01";90.2;90.18;233.32;80.73;84.59;99.01;75.74
"1992-08-01";65.49;79.93;232.93;63.23;41.61;66.08;68.01
"1992-09-01";95.21;99.93;203.66;90.25;90.56;103.19;75.3
"1992-10-01";99.04;98.21;225.78;94.94;90.1;105.05;90.66
"1992-11-01";93.59;92.71;208.82;98.14;81.97;95.34;90.95
"1992-12-01";95.67;92.85;223.41;125.58;69.38;90.13;99.92
"1993-01-01";87.2;82.85;238.56;68.17;79.84;91.13;100.43
"1993-02-01";87.97;83.48;203.9;72.53;80.49;92.59;96.64
"1993-03-01";97.98;94.01;218.95;88.46;90.71;103.76;96.75
"1993-04-01";89.5;90.11;216.86;79.88;81.63;95.66;83.82
"1993-05-01";83.04;84.28;254.28;77.02;75.55;87.96;75.56
"1993-06-01";96.19;97.79;230.67;97.47;85.34;104.42;74.98
"1993-07-01";85.93;85.66;248.97;76.73;75.39;94;76.15
"1993-08-01";64.31;83.58;244.9;60.23;38.33;63.83;69.29
"1993-09-01";93.04;102.14;235.73;91.5;78.23;99.09;77.57
"1993-10-01";93.93;96.11;252.72;95.86;73.78;98.58;88.18
"1993-11-01";92.01;93.85;247.38;90.28;71.28;93.08;101.04
"1993-12-01";95.5;91.86;263.8;120.61;65.91;91.5;103.12
"1994-01-01";88.88;84.14;243.76;68.11;77.27;93.5;105.12
"1994-02-01";87.43;80.9;213.39;74.47;78.08;92.43;95.15
"1994-03-01";98.49;93.85;246.17;90.8;89.7;105.62;92.48
"1994-04-01";90.51;85.62;236.3;77.82;86.41;96.07;90.82
"1994-05-01";88.62;87.87;240.93;79.93;83.16;95.65;78.34
"1994-06-01";100.95;97.38;198.13;104.78;93.1;109.99;77.53
"1994-07-01";87.97;87.17;211.59;78.18;80.57;95.74;78.67
"1994-08-01";68.58;91.24;239.41;61.08;40.14;69.57;72.6
